objectid,subject,filename,title,format,description,RULEDATE15,date,RULEMONTH,longitude,latitude,GCITY,GSTATE,location
mid018,History museums,mg101_b6_psychiana_photographs_003.jpg,GREATER GRAND RAPIDS BOWLING HALL OF FAME,image/jpeg,HTTP://GRGRUSBC.ORG/HOF/HOF_INDEX.HTM,201205,2012,05,-85.86325,43.01416,MARNE,MI,"MARNE, MI"
mid019,History museums,mg101_b6_psychiana_photographs_001.jpg,FAYETTE HISTORIC TOWNSITE,image/jpeg,,201105,2011,05,-86.66201,45.70376,GARDEN,MI,"GARDEN, MI"
mid020,History museums,mg101_b6_psychiana_photographs_002.jpg,CHASSELL HISTORICAL ORGANIZATION,image/jpeg,,199306,1993,06,-88.5381,47.0029,CHASSELL,MI,"CHASSELL, MI"
mid021,History museums,mg101_b6_psychiana_photographs_003.jpg,WILLIAMSTON DEPOT MUSEUM,image/jpeg,,199904,1999,04,-84.28777,42.69169,WILLIAMSTON,MI,"WILLIAMSTON, MI"
mid022,History museums,mg101_b6_psychiana_photographs_001.jpg,CASS COUNTY PIONEER LOG CABIN MUSEUM,image/jpeg,,201307,2013,07,-86.01206,41.90352,CASSOPOLIS,MI,"CASSOPOLIS, MI"
mid023,History museums,mg101_b6_psychiana_photographs_002.jpg,CAESARS CREEK PIONEER VILLAGE,image/jpeg,HTTP://WWW.CAESARSCREEKPIONEERVILLAGE.ORG/,197709,1977,09,-84.03534,39.48424,WAYNESVILLE,OH,"WAYNESVILLE, OH"
mid024,History museums,mg101_b6_psychiana_photographs_003.jpg,FRANKLIN MUSEUM OF NEW ATHENS,image/jpeg,,199108,1991,08,-80.99595,40.18118,NEW ATHENS,OH,"NEW ATHENS, OH"
mid025,History museums,mg101_b6_psychiana_photographs_001.jpg,UNDERGROUND RAILROAD MUSEUM,image/jpeg,HTTP://WWW.UGRRF.ORG/,199711,1997,11,-81.12162,40.15836,FLUSHING,OH,"FLUSHING, OH"
mid026,History museums,mg101_b6_psychiana_photographs_002.jpg,NEFF MARINE CORPS MUSEUM,image/jpeg,HTTP://NEFFMILITARYMUSEUM.OHIOCOUNTRYSHOPPING4U.COM/,200108,2001,08,-83.53566,41.02885,FINDLAY,OH,"FINDLAY, OH"
mid027,History museums,mg101_b6_psychiana_photographs_003.jpg,1897 CLARK COUNTY JAIL MUSEUM,image/jpeg,HTTP://WWW.1897CLARKCOUNTYJAILMUSEUM.COM,201006,2010,06,-90.59327,44.558,NEILLSVILLE,WI,"NEILLSVILLE, WI"
mid028,History museums,mg101_b6_psychiana_photographs_001.jpg,MALONE AREA HERITAGE MUSEUM,image/jpeg,,200711,2007,11,-88.30427,43.87824,MALONE,WI,"MALONE, WI"
mid029,History museums,mg101_b6_psychiana_photographs_002.jpg,WHITETAIL MUSEUM,image/jpeg,,201010,2010,10,-89.77367,43.6413,WISC DELLS,WI,"WISC DELLS, WI"
mid030,History museums,mg101_b6_psychiana_photographs_003.jpg,MINOCQUA MUSEUM,image/jpeg,,198707,1987,07,-89.76843,45.87071,MINOCQUA,WI,"MINOCQUA, WI"
mid031,History museums,mg101_b6_psychiana_photographs_001.jpg,COLFAX RAILROAD MUSEUM,image/jpeg,HTTP://WWW.COLFAXRRMUSEUM.ORG,199909,1999,09,-91.72597,44.9974,COLFAX,WI,"COLFAX, WI"
mid032,History museums,mg101_b6_psychiana_photographs_002.jpg,OULU CULTURAL & HERITAGE CENTER,image/jpeg,HTTP://OULUCULTURALCENTER.ORG/,201202,2012,02,-91.40895,46.5656,IRON RIVER,WI,"IRON RIVER, WI"
mid033,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_003.jpg,SCOTT COUNTY HISTORICAL GENEALOGICAL SOCIETY,image/jpeg,HTTP://WWW.SCGSI.COM/,200311,2003,11,-85.79167,38.68191,SCOTTSBURG,IN,"SCOTTSBURG, IN"
mid034,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_001.jpg,DELTA COUNTY HISTORICAL SOCIETY,image/jpeg,HTTP://DELTAHISTORICAL.ORG,196602,1966,02,-87.05148,45.74569,ESCANABA,MI,"ESCANABA, MI"
mid035,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_002.jpg,POLISH AMERICAN HISTORICAL ASSOCIATION,image/jpeg,HTTP://WWW.POLISHAMERICANSTUDIES.ORG,197501,1975,01,-86.89671,41.58583,WESTVILLE,IN,"WESTVILLE, IN"
mid036,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_003.jpg,CHICKAMAUGA AND CHATTANOOGA NATIONAL MILITARY PARK,image/jpeg,,198709,1987,09,-85.64973,42.97881,GRAND RAPIDS,MI,"GRAND RAPIDS, MI"
mid037,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_001.jpg,CARROLL COUNTY HISTORICAL SOCIETY,image/jpeg,,197508,1975,08,-89.97464,42.0981,MOUNT CARROLL,IL,"MOUNT CARROLL, IL"
mid038,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_002.jpg,DANFORTH HISTORICAL SOCIETY,image/jpeg,,200606,2006,06,-87.99449,40.82868,DANFORTH,IL,"DANFORTH, IL"
mid039,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_003.jpg,HISTORIC MARBOLD FARMSTEAD ASSOCIATION,image/jpeg,HTTP://WWW.HISTORIC-MARBOLD-FARMSTEAD.ORG,201104,2011,04,-89.73175,40.07644,GREENVIEW,IL,"GREENVIEW, IL"
mid040,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_001.jpg,NORTH ADAMS HISTORICAL SOCIETY,image/jpeg,,200509,2005,09,-91.37511,40.10593,URSA,IL,"URSA, IL"
mid041,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_002.jpg,MCHENRY AREA HISTORICAL SOCIETY,image/jpeg,HTTP://WWW.MCHSONLINE.ORG/RESEARCH,200602,2006,02,-88.54284,42.23643,UNION,IL,"UNION, IL"
mid042,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_003.jpg,TEUTOPOLIS MONASTERY MUSEUM,image/jpeg,,200704,2007,04,-88.4617,39.12868,TEUTOPOLIS,IL,"TEUTOPOLIS, IL"
mid043,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_001.jpg,ST ELMO HISTORICAL SOCIETY,image/jpeg,HTTP://WWW.ST-ELMO.ORG,200703,2007,03,-88.84852,39.02842,ST ELMO,IL,"ST ELMO, IL"
mid044,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_002.jpg,HAMPSHIRE TOWNSHIP HISTORICAL SOCIETY,image/jpeg,,200611,2006,11,-88.56893,42.0937,HAMPSHIRE,IL,"HAMPSHIRE, IL"
mid045,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_003.jpg,ONARGA HISTORICAL SOCIETY,image/jpeg,HTTP://ONARGAHISTORY.ORG/,200903,2009,03,-87.98631,40.70649,ONARGA,IL,"ONARGA, IL"
mid046,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_001.jpg,TAZEWELL COUNTY OLDE THRESHERS ASSOCIATION,image/jpeg,,200304,2003,04,-89.46762,40.4843,TREMONT,IL,"TREMONT, IL"
mid047,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_002.jpg,RANDOLPH COUNTY HISTORICAL SOCIETY,image/jpeg,HTTP://WWW.RANDOLPHHISTORY.COM/,197103,1971,03,-89.91651,37.97799,ELLIS GROVE,IL,"ELLIS GROVE, IL"
mid048,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_003.jpg,GALLATIN COUNTY HISTORICAL SOCIETY,image/jpeg,HTTP://WWW.MUSEUMSUSA.ORG/MUSEUMS/INFO/14244,197008,1970,08,-88.19019,37.71559,SHAWNEETOWN,IL,"SHAWNEETOWN, IL"
mid049,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_001.jpg,CHILLICOTHE HISTORICAL SOCIETY,image/jpeg,HTTP://CHILLICOTHEHISTORICAL.ORG/,197110,1971,10,-89.50991,40.90629,CHILLICOTHE,IL,"CHILLICOTHE, IL"
mid050,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_002.jpg,LEXINGTON GENELOGICAL AND HISTORICAL SOCIETY,image/jpeg,,197506,1975,06,-88.78331,40.64145,LEXINGTON,IL,"LEXINGTON, IL"
mid051,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_003.jpg,GRANT PARK AREA HISTORICAL SOCIETY,image/jpeg,HTTP://WWW.VISITKANKAKEECOUNTY.COM/MEMBER_DETAILS.CFM?ID=5151&CD=94,200708,2007,08,-87.64513,41.24015,GRANT PARK,IL,"GRANT PARK, IL"
mid052,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_001.jpg,HINCKLEY HISTORICAL SOCIETY,image/jpeg,HTTP://WWW.HINCKLEYOHIOHISTORICALSOCIETY.COM/,200803,2008,03,-88.64728,41.77501,HINCKLEY,IL,"HINCKLEY, IL"
mid053,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_002.jpg,ILLINOIS AREA AND FAMILY HISTORICAL SOCIETY,image/jpeg,,200910,2009,10,-89.68644,40.20359,MASON CITY,IL,"MASON CITY, IL"
mid054,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_003.jpg,SENECA HISTORICAL GUILD,image/jpeg,,201105,2011,05,-88.6068,41.32034,SENECA,IL,"SENECA, IL"
mid055,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_001.jpg,FARMINGTON HISTORICAL SOCIETY AND MUSEUM,image/jpeg,HTTP://WWW.FARMINGTONMUSEUM.COM,201410,2014,10,-90.00379,40.69809,FARMINGTON,IL,"FARMINGTON, IL"
mid056,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_002.jpg,OTTAWA CANAL ASSOCIATION,image/jpeg,,201105,2011,05,-88.81508,41.38821,OTTAWA,IL,"OTTAWA, IL"
mid057,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_003.jpg,THEBES HISTORICAL SOCIETY,image/jpeg,HTTP://WWW.THEBESCOURTHOUSE.COM,201401,2014,01,-89.3809,37.22582,THEBES,IL,"THEBES, IL"
mid058,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_001.jpg,MALTA HISTORICAL AND GENEALOGICAL SOCIETY,image/jpeg,,200002,2000,02,-88.86205,41.9304,MALTA,IL,"MALTA, IL"
mid059,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_002.jpg,OAKLAND LANDMARKS,image/jpeg,,199907,1999,07,-88.02665,39.65711,OAKLAND,IL,"OAKLAND, IL"
mid060,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_003.jpg,PRAIRIE RIVER HISTORICAL SOCIETY,image/jpeg,,200101,2001,01,-88.81598,39.9821,ARGENTA,IL,"ARGENTA, IL"
mid061,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_001.jpg,HUTSONVILLE HISTORICAL SOCIETY,image/jpeg,,200207,2002,07,-87.74205,39.11958,HUTSONVILLE,IL,"HUTSONVILLE, IL"
mid062,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_002.jpg,HENRY COUNTY HISTORICAL SOCIETY,image/jpeg,,197505,1975,05,-90.1181,41.20053,BISHOP HILL,IL,"BISHOP HILL, IL"
mid063,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_003.jpg,SHEFFIELD HISTORICAL SOCIETY,image/jpeg,,198703,1987,03,-89.7359,41.35538,SHEFFIELD,IL,"SHEFFIELD, IL"
mid064,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_001.jpg,CEDARVILLE AREA HISTORICAL SOCIETY,image/jpeg,HTTP://WWW.CEDARVILLEAREAHISTORICALSOCIETY.ORG,200602,2006,02,-89.63384,42.37254,CEDARVILLE,IL,"CEDARVILLE, IL"
mid065,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_002.jpg,MANITO HISTORICAL SOCIETY,image/jpeg,,197810,1978,10,-89.79025,40.4471,MANITO,IL,"MANITO, IL"
mid066,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_003.jpg,MARSHALL COUNTY HISTORICAL SOCIETY,image/jpeg,HTTP://MARSHALLCOUNTYHISTORY.ORG/,198606,1986,06,-89.41066,41.02467,LACON,IL,"LACON, IL"
mid067,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_001.jpg,OTTER CREEK HISTORICAL SOCIETY,image/jpeg,,198311,1983,11,-89.33346,42.43713,DURAND,IL,"DURAND, IL"
mid068,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_002.jpg,WYANET HISTORICAL SOCIETY,image/jpeg,,198410,1984,10,-89.59591,41.3748,WYANET,IL,"WYANET, IL"
mid069,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_003.jpg,SEWARD HISTORICAL SOCIETY,image/jpeg,HTTP://WWW.AEROINC.NET/USERS/SEWARDNET/SEWARDHISTORICAL.HTML,198703,1987,03,-89.35813,42.23775,SEWARD,IL,"SEWARD, IL"
mid070,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_001.jpg,EARLVILLE COMMUNITY HISTORICAL SOCIETY,image/jpeg,HTTP://WWW.EARLVILLELIBRARY.ORG,198509,1985,09,-88.91511,41.59289,EARLVILLE,IL,"EARLVILLE, IL"
mid071,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_002.jpg,PECATONICA HISTORICAL SOCIETY,image/jpeg,HTTP://COMMUNITIES.AEROINC.NET/PECATONICA/PHS.HTM,200001,2000,01,-89.35041,42.30976,PECATONICA,IL,"PECATONICA, IL"
mid072,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_003.jpg,PROPHETSTOWN AREA HISTORICAL SOCIETY,image/jpeg,,199503,1995,03,-89.93621,41.67074,PROPHETSTOWN,IL,"PROPHETSTOWN, IL"
mid073,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_001.jpg,TAMPICO HISTORICAL SOCIETY,image/jpeg,HTTP://WWW.TAMPICOHISTORICALSOCIETY.COM/HOME_PAGE.HTML,199211,1992,11,-89.78906,41.60266,TAMPICO,IL,"TAMPICO, IL"
mid074,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_002.jpg,SHABBONA LEE AND ROLLO HISTORICAL MUSEUM,image/jpeg,,199612,1996,12,-88.87249,41.76788,SHABBONA,IL,"SHABBONA, IL"
mid075,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_003.jpg,BIG ROCK HISTORICAL SOCIETY,image/jpeg,HTTP://WWW.BIGROCKHISTORICALSOCIETY.ORG/,199809,1998,09,-88.60129,41.73267,BIG ROCK,IL,"BIG ROCK, IL"
mid076,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_001.jpg,KANEVILLE HISTORICAL SOCIETY,image/jpeg,,199610,1996,10,-88.51723,41.8322,KANEVILLE,IL,"KANEVILLE, IL"
mid077,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_002.jpg,ESSEX HISTORICAL SOCIETY,image/jpeg,HTTP://WWW.VISITKANKAKEECOUNTY.COM/MEMBER_DETAILS.CFM?ID=515&CD=93,200109,2001,09,-88.19081,41.17968,ESSEX,IL,"ESSEX, IL"
mid078,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_003.jpg,NEWPORT TOWNSHIP HISTORICAL SOCIETY,image/jpeg,,200305,2003,05,-87.91887,42.43159,WADSWORTH,IL,"WADSWORTH, IL"
mid079,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_001.jpg,RUTLAND TOWNSHIP HISTORICAL SOCIETY,image/jpeg,,199908,1999,08,-88.41243,42.10491,HAMPSHIRE,IL,"HAMPSHIRE, IL"
mid080,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_002.jpg,FULTON HISTORICAL SOCIETY,image/jpeg,,201405,2014,05,-90.1496,41.85729,FULTON,IL,"FULTON, IL"
mid081,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_003.jpg,MCCONNELL AREA HISTORICAL SOCIETY,image/jpeg,,200311,2003,11,-89.73388,42.43702,MCCONNELL,IL,"MCCONNELL, IL"
mid082,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_001.jpg,MANLIUS HISTORICAL SOCIETY,image/jpeg,HTTP://WWW.MANLIUSHISTORICALSOCIETY.ORG/,200202,2002,02,-89.66688,41.45481,MANLIUS,IL,"MANLIUS, IL"
mid083,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_002.jpg,ASSUMPTON HISTORICAL SOCIETY,image/jpeg,HTTP://ASSUMPTIONHISTORICALSOCIETY.COM/,200509,2005,09,-89.04981,39.51935,ASSUMPTION,IL,"ASSUMPTION, IL"
mid084,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_003.jpg,BISHOP HILL OLD SETTLERS ASSOCIATION,image/jpeg,,201211,2012,11,-90.1181,41.20053,BISHOP HILL,IL,"BISHOP HILL, IL"
mid085,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_001.jpg,CLINTON COUNTY HISTORICAL SOCIETY,image/jpeg,HTTP://WWW.CLINTONCOUNTYHISTORY.COM/,197708,1977,08,-89.34741,38.63801,LOCK HAVEN,IL,"LOCK HAVEN, IL"
mid086,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_002.jpg,POPE COUTY HISTORICAL SOCIETY,image/jpeg,,197704,1977,04,-88.5067,37.34763,GOLCONDA,IL,"GOLCONDA, IL"
mid087,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_003.jpg,MORRISONVILLE HISTORICAL SOCIETY,image/jpeg,,197808,1978,08,-89.4494,39.42451,MORRISONVILLE,IL,"MORRISONVILLE, IL"
mid088,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_001.jpg,BELLFLOWER VILLAGE & MUSEUM,image/jpeg,HTTP://ILGENSOC.ORG,197804,1978,04,-88.52717,40.33732,BELLFLOWER,IL,"BELLFLOWER, IL"
mid089,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_002.jpg,GREENE COUNTY HISTORICAL AND GENEALOGICAL SOCIETY,image/jpeg,HTTP://GREENEHISTORICALSOCIETY.ORG/,198006,1980,06,-90.4069,39.2991,CARROLLTON,IL,"CARROLLTON, IL"
mid090,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_003.jpg,PIATT COUNTY HISTORICAL & GENEALOGICAL SOCIETY,image/jpeg,,198107,1981,07,-88.57023,40.03528,MONTICELLO,IL,"MONTICELLO, IL"
mid091,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_001.jpg,SCOTT COUNTY HISTORICAL SOCIETY,image/jpeg,,198501,1985,01,-90.45964,39.62323,WINCHESTER,IL,"WINCHESTER, IL"
mid092,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_002.jpg,CALHOUN COUNTY HISTORICAL SOCIETY,image/jpeg,,201202,2012,02,-90.62314,39.15762,HARDIN,IL,"HARDIN, IL"
mid093,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_003.jpg,VERSAILLES AREA GENEALOGICAL AND HISTORICAL SOCIETY,image/jpeg,HTTP://VAGHS.TRIPOD.COM,199905,1999,05,-88.60067,41.90764,VERSAILLES,IL,"VERSAILLES, IL"
mid094,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_001.jpg,CASS COUNTY HISTORICAL SOCIETY,image/jpeg,,198906,1989,06,-90.21136,39.95061,VIRGINIA,IL,"VIRGINIA, IL"
mid095,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_002.jpg,RIVER VALLEY ANTIQUE ASSOCIATION,image/jpeg,,199702,1997,02,-89.78508,40.60502,GLASFORD,IL,"GLASFORD, IL"
mid096,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_003.jpg,WARSAW HISTORICAL SOCIETY,image/jpeg,,198502,1985,02,-91.43575,40.35974,WARSAW,IL,"WARSAW, IL"
mid097,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_001.jpg,SIDELL COMMUNITY HISTORICAL SOCIETY,image/jpeg,,198609,1986,09,-87.82777,39.90988,SIDELL,IL,"SIDELL, IL"
mid098,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_002.jpg,TREMONT MUSEUM AND HISTORICAL SOCIETY,image/jpeg,,198701,1987,01,-89.48171,40.51351,TREMONT,IL,"TREMONT, IL"
mid099,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_003.jpg,DANVERS HISTORICAL SOCIETY,image/jpeg,,198702,1987,02,-89.17739,40.52769,DANVERS,IL,"DANVERS, IL"
mid100,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_001.jpg,LAHARPE HISTORICAL AND GENEALOGICAL SOCIETY,image/jpeg,,199601,1996,01,-90.9718,40.57922,LA HARPE,IL,"LA HARPE, IL"
mid101,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_002.jpg,ILLIANA CIVIL WAR HISTORICAL SOCIETY,image/jpeg,HTTP://WWW.ILLIANACIVILWAR.ORG,200603,2006,03,-87.7643,40.12465,OAKWOOD,IL,"OAKWOOD, IL"
mid102,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_003.jpg,NAUVOO HISTORICAL SOCIETY,image/jpeg,HTTP://WWW.NAUVOOHISTORICALSOCIETY.ORG,198707,1987,07,-91.38121,40.5497,NAUVOO,IL,"NAUVOO, IL"
mid103,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_001.jpg,CLAY COUNTY GENEALOGICAL SOCIETY,image/jpeg,HTTP://WWW.CLAYROOTSILLINOIS.COM/,198906,1989,06,-88.49721,38.80637,LOUISVILLE,IL,"LOUISVILLE, IL"
mid104,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_002.jpg,LEWISTOWN SOCIETY FOR HISTORICAL PRESERVATION,image/jpeg,,199710,1997,10,-90.15528,40.39518,LEWISTOWN,IL,"LEWISTOWN, IL"
mid105,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_003.jpg,ELKHART HISTORICAL SOCIETY,image/jpeg,HTTP://WWW.ELKHARTHISTORICALSOCIETY.ORG,201401,2014,01,-89.45729,40.03245,ELKHART,IL,"ELKHART, IL"
mid106,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_001.jpg,GENEALOGICAL & HISTORICAL SOCIETY,image/jpeg,HTTP://JOHNSONCOUNTYIL.NET/,199905,1999,05,-88.89664,37.41595,VIENNA,IL,"VIENNA, IL"
mid107,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_002.jpg,KNAPP CHESNUT BECKER HISTORICAL SOCIETY,image/jpeg,,199203,1992,03,-89.57578,40.09489,MIDDLETOWN,IL,"MIDDLETOWN, IL"
mid108,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_003.jpg,OLD TOWN PRESERVATION ASSOCIATION OF DANVILLE,image/jpeg,,199806,1998,06,-87.65488,40.18229,DANVILLE,IL,"DANVILLE, IL"
mid109,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_001.jpg,FRANKLIN COUNTY HISTORIC PRESERVATION SOCIETY,image/jpeg,HTTP://WWW.HISTORICJAIL.COM/?PAGE_ID=2,199310,1993,10,-89.03796,38.03318,BENTON,IL,"BENTON, IL"
mid110,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_002.jpg,ILLINOIS VALLEY CULTURAL HERITAGE ASSOCIATION,image/jpeg,,199302,1993,02,-90.55394,39.28694,ELDRED,IL,"ELDRED, IL"
mid111,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_003.jpg,UNION COUNTY HISTORICAL AND GENEALOGY SOCIETY,image/jpeg,,199303,1993,03,-89.24123,37.54201,COBDEN,IL,"COBDEN, IL"
mid112,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_001.jpg,BROWN COUNTY HISTORICAL SOCIETY,image/jpeg,,199401,1994,01,-90.85564,40.01565,TIMEWELL,IL,"TIMEWELL, IL"
mid113,"Historic societies, historic preservation",mg101_b6_psychiana_photographs_002.jpg,RIDGE FARM HERITAGE SOCIETY,image/jpeg,,199409,1994,09,-87.63313,39.90541,RIDGE FARM,IL,"RIDGE FARM, IL"
